pagina,url,instancia,form_id_esperado,form_id_en_pagina,form_id_registrado,fecha_hora,correo_prueba,ronda3_ejecutada,R1_renderiza,R2_campos,R3_envio,R4_confirmacion,R5_clausula_datos,H1_contacto,H2_atribucion,H3_programa,H4_activador,H5_disparo,H6_marca,H7_definicion,caso,severidad,accion,quien,observacion
curso-de-felicidad-y-bienestar-organizacional,https://udeponline.pe/curso-de-felicidad-y-bienestar-organizacional/,banner,3727950a-ecce-48ee-b75e-b3c46cc54c7a,3727950a-ecce-48ee-b75e-b3c46cc54c7a,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Felicidad y Bienestar Organizacional'
curso-de-felicidad-y-bienestar-organizacional,https://udeponline.pe/curso-de-felicidad-y-bienestar-organizacional/,modal,3727950a-ecce-48ee-b75e-b3c46cc54c7a,3727950a-ecce-48ee-b75e-b3c46cc54c7a,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Felicidad y Bienestar Organizacional'
curso-de-gestion-de-equipos-de-alto-rendimiento,https://udeponline.pe/curso-de-gestion-de-equipos-de-alto-rendimiento/,banner,84e5b722-e953-4dc9-a199-61f96667f10e,84e5b722-e953-4dc9-a199-61f96667f10e,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Gestión de Equipos de Alto Rendimiento'
curso-de-gestion-de-equipos-de-alto-rendimiento,https://udeponline.pe/curso-de-gestion-de-equipos-de-alto-rendimiento/,modal,84e5b722-e953-4dc9-a199-61f96667f10e,84e5b722-e953-4dc9-a199-61f96667f10e,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Gestión de Equipos de Alto Rendimiento'
curso-de-gestion-del-talento,https://udeponline.pe/curso-de-gestion-del-talento/,banner,d6c333ed-17db-4e16-8afa-d87ef1b4eb49,d6c333ed-17db-4e16-8afa-d87ef1b4eb49,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OK,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,A,,nada,,
curso-de-gestion-del-talento,https://udeponline.pe/curso-de-gestion-del-talento/,modal,d6c333ed-17db-4e16-8afa-d87ef1b4eb49,d6c333ed-17db-4e16-8afa-d87ef1b4eb49,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OK,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,A,,nada,,
curso-de-inteligencia-emocional,https://udeponline.pe/curso-de-inteligencia-emocional/,banner,c1438a54-76d7-4155-8ec0-28d6c65e24fb,c1438a54-76d7-4155-8ec0-28d6c65e24fb,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,SIN_VALOR,OK,PENDIENTE,NO_VERIFICABLE_POR_API,"propiedades distintas a la plantilla: faltan ['mensaje'], sobran ['message'] | etiqueta de lastname: 'Apellidos' (plantilla: 'Apellido') | etiqueta de email: 'Correo' (plantilla: 'Email') | etiqueta de cursos_piura__udn_udep_: 'Cursos Piura (UDN UDEP)' (plantilla: 'Cursos Piura') | escribe en la propiedad generica 'message' en vez de 'mensaje': el dato no llega junto al del resto | sin encabezado '¿QUIERES MÁS INFORMACIÓN?' en el formulario",B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,sin clausula de autorizacion de datos; mensaje de confirmacion distinto o vacio: ''; el campo oculto de programa no tiene valor por defecto: el lead entra sin programa
curso-de-inteligencia-emocional,https://udeponline.pe/curso-de-inteligencia-emocional/,modal,c1438a54-76d7-4155-8ec0-28d6c65e24fb,c1438a54-76d7-4155-8ec0-28d6c65e24fb,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,SIN_VALOR,OK,PENDIENTE,NO_VERIFICABLE_POR_API,"propiedades distintas a la plantilla: faltan ['mensaje'], sobran ['message'] | etiqueta de lastname: 'Apellidos' (plantilla: 'Apellido') | etiqueta de email: 'Correo' (plantilla: 'Email') | etiqueta de cursos_piura__udn_udep_: 'Cursos Piura (UDN UDEP)' (plantilla: 'Cursos Piura') | escribe en la propiedad generica 'message' en vez de 'mensaje': el dato no llega junto al del resto | sin encabezado '¿QUIERES MÁS INFORMACIÓN?' en el formulario",B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,sin clausula de autorizacion de datos; mensaje de confirmacion distinto o vacio: ''; el campo oculto de programa no tiene valor por defecto: el lead entra sin programa
curso-de-liderazgo-en-la-era-digital,https://udeponline.pe/curso-de-liderazgo-en-la-era-digital/,banner,89781058-251b-4213-9673-08605ddc1b93,89781058-251b-4213-9673-08605ddc1b93,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Liderazgo en la era digital'
curso-de-liderazgo-en-la-era-digital,https://udeponline.pe/curso-de-liderazgo-en-la-era-digital/,modal,89781058-251b-4213-9673-08605ddc1b93,89781058-251b-4213-9673-08605ddc1b93,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Liderazgo en la era digital'
