n,tipo,formulario_en_hubspot,formId,pagina,instancias_en_la_pagina,activador_actual
22,diplomado,PIURA: Diplomado en Marketing Digital y Ecommerce (UDN UDEP),243be113-191b-4e14-92a7-1636105d46f4,https://udeponline.pe/diplomado-en-marketing-digital-y-ecommerce/,banner + modal (el mismo formulario),0302. Activador Cluster Marketing Digital Piura (UDN UDEP)
23,programa,Comunicación Efectiva y Gestión de Equipos de Alto Rendimiento Piura  (UDN UDEP),523d3530-c6c2-415d-a587-096a58a3f71f,https://udeponline.pe/programa-de-especializacion-en-comunicacion-efectiva-y-gestion-de-equipos-de-alto-rendimiento/,banner + modal (el mismo formulario),0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP)
24,programa,PIURA: PDE en Comunicación efectiva y Gestión del Talento ,d60e69e9-97ee-4b86-beee-2447c8305fff,https://udeponline.pe/programa-de-especializacion-en-comunicacion-efectiva-y-gestion-del-talento/,banner + modal (el mismo formulario),0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP)
25,programa,PIURA: PDE en Felicidad Organizacional y Gestión de Equipos de Alto Rendimiento (UDN UDEP),fb1d6938-aed4-44b8-bc70-03d1379f0712,https://udeponline.pe/programa-de-especializacion-en-felicidad-organizacional-y-gestion-de-equipos-de-alto-rendimiento/,banner + modal (el mismo formulario),0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP)
26,programa,PIURA: PDE en Felicidad Organizacional e Inteligencia Emocional (UDN UDEP),72e670fc-a6d3-4ef1-a735-987515c286d6,https://udeponline.pe/programa-de-especializacion-en-felicidad-organizacional-y-inteligencia-emocional/,banner + modal (el mismo formulario),0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP)
27,programa,PIURA: PDE en Felicidad y Desarrollo Organizacional (UDN UDEP),be719c32-c6ca-4e4c-ae56-e748f2edeb3a,https://udeponline.pe/programa-de-especializacion-en-felicidad-y-desarrollo-organizacional/,banner + modal (el mismo formulario),0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP)
28,programa,PIURA: PDE en Gestión del Cambio y Negociación de Conflictos (UDN UDEP),9359c5fb-9bf0-49ff-8048-d44d56eddeb1,https://udeponline.pe/programa-de-especializacion-en-gestion-del-cambio-y-negociacion-de-conflictos/,banner + modal (el mismo formulario),0307. Activador Cluster Emprendimiento Innovación y Tecnología (UDN UDEP)
29,programa,PIURA: PDE en Gestión del Talento y Negociación de Conflictos,0c7b3436-4cc6-4ada-91ea-76b82d1e64ed,https://udeponline.pe/programa-de-especializacion-en-gestion-del-talento-y-negociacion-de-conflictos/,banner + modal (el mismo formulario),0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP)
30,programa,PIURA: PDE en Habilidades para la Gestión de Equipos (UDN UDEP),78d79e2c-ef41-47b8-a76f-16c67851c99e,https://udeponline.pe/programa-de-especializacion-en-habilidades-para-la-gestion-de-equipos/,banner + modal (el mismo formulario),0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP)
31,programa,PIURA: PDE en Inteligencia Emocional y Coaching (UDN UDEP),518f587e-3cfe-4c56-85d7-1939a4624925,https://udeponline.pe/programa-de-especializacion-en-inteligencia-emocional-y-coaching/,banner + modal (el mismo formulario),0303. Activador Cluster Habilidades de Gestión Piura (UDN UDEP)
32,programa,PIURA: PDE en Liderazgo y Comunicación Efectiva (UDN UDEP),20d1a6ad-9788-4a2a-a6cc-4917bed546e8,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-comunicacion-efectiva/,banner + modal (el mismo formulario),0301. Activador Cluster Liderazgo y Gestión de Personas(UDN UDEP)
33,programa,PIURA: PDE en Liderazgo y Felicidad Organizacional (UDN UDEP),81e1fd4a-6992-4150-9153-ca6bcb9ad986,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-felicidad-organizacional/,banner + modal (el mismo formulario),0301. Activador Cluster Liderazgo y Gestión de Personas(UDN UDEP)
34,programa,PIURA: PDE en Liderazgo y Gestión del Talento (UDN UDEP),c207918c-7869-42f2-96f7-76a963123ef5,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-gestion-del-talento/,banner + modal (el mismo formulario),0301. Activador Cluster Liderazgo y Gestión de Personas(UDN UDEP)
35,programa,Liderazgo y Negociación de Conflictos Piura (UDN UDEP),84f82226-d1c2-43aa-b4e9-da20f43c0548,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-negociacion-de-conflictos/,banner + modal (el mismo formulario),0301. Activador Cluster Liderazgo y Gestión de Personas(UDN UDEP)
36,programa,PIURA: PDE en Liderazgo y Transformación Digital (UDN UDEP),1117d061-5d64-4497-9ce3-e3aff834e996,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-transformacion-digital/,banner + modal (el mismo formulario),0301. Activador Cluster Liderazgo y Gestión de Personas(UDN UDEP)
37,programa,Marketing Digital y Business Model Piura (UDN UDEP),f49da541-6cda-489e-98cf-985b7b3dc1b8,https://udeponline.pe/programa-de-especializacion-en-marketing-digital-y-business-model/,banner + modal (el mismo formulario),0302. Activador Cluster Marketing Digital Piura (UDN UDEP)
38,programa,PIURA: PDE en Marketing Digital y E-commerce (UDN UDEP),cd64140f-f93d-4265-8222-426ad8dfc3d8,https://udeponline.pe/programa-de-especializacion-en-marketing-digital-y-e-commerce/,banner + modal (el mismo formulario),0302. Activador Cluster Marketing Digital Piura (UDN UDEP)
39,programa,PDE en Modelo de Negocios Digitales y Business Intelligence,b8164bf0-4166-46aa-8760-5cb87ebd8888,https://udeponline.pe/programa-de-especializacion-en-modelo-de-negocios-digitales-y-business-intelligence/,banner + modal (el mismo formulario),0307. Activador Cluster Emprendimiento Innovación y Tecnología (UDN UDEP)
40,programa,PIURA: PDE en Modelo de Negocios y Transformación Digital (UDN UDEP),5878cd5d-839e-4146-bc79-725360097a74,https://udeponline.pe/programa-de-especializacion-en-modelo-de-negocios-y-transformacion-digital/,banner + modal (el mismo formulario),0307. Activador Cluster Emprendimiento Innovación y Tecnología (UDN UDEP)
