pagina,url,instancia,formId_en_la_pagina,apunta_hoy_a_nombre_real_hubspot,programa_que_envia_el_formulario,formId_canon,nombre_en_canon,fila_canon,canon_encontrado_por,coincide_con_canon,veredicto,formId_que_debe_quedar,accion,detalle
programa-de-especializacion-en-gestion-del-cambio-y-negociacion-de-conflictos,https://udeponline.pe/programa-de-especializacion-en-gestion-del-cambio-y-negociacion-de-conflictos/,hero,9359c5fb-9bf0-49ff-8048-d44d56eddeb1,PIURA: PDE en Gestión del Cambio y Negociación de Conflictos (UDN UDEP),Marketing Digital y Ecommerce,9359c5fb-9bf0-49ff-8048-d44d56eddeb1,Programa de Especialización en Gestión del Cambio y Negociación de Conflictos,9,url,SI,COINCIDE,9359c5fb-9bf0-49ff-8048-d44d56eddeb1,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-gestion-del-cambio-y-negociacion-de-conflictos,https://udeponline.pe/programa-de-especializacion-en-gestion-del-cambio-y-negociacion-de-conflictos/,modal,9359c5fb-9bf0-49ff-8048-d44d56eddeb1,PIURA: PDE en Gestión del Cambio y Negociación de Conflictos (UDN UDEP),Marketing Digital y Ecommerce,9359c5fb-9bf0-49ff-8048-d44d56eddeb1,Programa de Especialización en Gestión del Cambio y Negociación de Conflictos,9,url,SI,COINCIDE,9359c5fb-9bf0-49ff-8048-d44d56eddeb1,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-gestion-del-talento-y-negociacion-de-conflictos,https://udeponline.pe/programa-de-especializacion-en-gestion-del-talento-y-negociacion-de-conflictos/,hero,0c7b3436-4cc6-4ada-91ea-76b82d1e64ed,PIURA: PDE en Gestión del Talento y Negociación de Conflictos,Marketing Digital y Ecommerce,43632e61-2706-46fe-bc8a-1638b6bfc01e,Programa de Especialización en Liderazgo y Negociación de Conflictos,7,url,NO,FALSA ALARMA DEL CANON,0c7b3436-4cc6-4ada-91ea-76b82d1e64ed,nada: el formId de la pagina es el correcto; corregir la planilla (fila 7): su ID 43632e61 resuelve a 'PIURA: PDE en Liderazgo y Negociación de Conflictos (UDN UDE',"el sitio usa 'PIURA: PDE en Gestión del Talento y Negociación de Conflictos', que corresponde a la pagina; el canon dice 43632e61 = 'PIURA: PDE en Liderazgo y Negociación de Conflictos (UDN UDE'"
programa-de-especializacion-en-gestion-del-talento-y-negociacion-de-conflictos,https://udeponline.pe/programa-de-especializacion-en-gestion-del-talento-y-negociacion-de-conflictos/,modal,0c7b3436-4cc6-4ada-91ea-76b82d1e64ed,PIURA: PDE en Gestión del Talento y Negociación de Conflictos,Marketing Digital y Ecommerce,43632e61-2706-46fe-bc8a-1638b6bfc01e,Programa de Especialización en Liderazgo y Negociación de Conflictos,7,url,NO,FALSA ALARMA DEL CANON,0c7b3436-4cc6-4ada-91ea-76b82d1e64ed,nada: el formId de la pagina es el correcto; corregir la planilla (fila 7): su ID 43632e61 resuelve a 'PIURA: PDE en Liderazgo y Negociación de Conflictos (UDN UDE',"el sitio usa 'PIURA: PDE en Gestión del Talento y Negociación de Conflictos', que corresponde a la pagina; el canon dice 43632e61 = 'PIURA: PDE en Liderazgo y Negociación de Conflictos (UDN UDE'"
programa-de-especializacion-en-habilidades-para-la-gestion-de-equipos,https://udeponline.pe/programa-de-especializacion-en-habilidades-para-la-gestion-de-equipos/,hero,78d79e2c-ef41-47b8-a76f-16c67851c99e,PIURA: PDE en Habilidades para la Gestión de Equipos (UDN UDEP),Marketing Digital y Ecommerce,78d79e2c-ef41-47b8-a76f-16c67851c99e,Programa de Especialización en Habilidades para la Gestión de Equipos,5,url,SI,COINCIDE,78d79e2c-ef41-47b8-a76f-16c67851c99e,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-habilidades-para-la-gestion-de-equipos,https://udeponline.pe/programa-de-especializacion-en-habilidades-para-la-gestion-de-equipos/,modal,78d79e2c-ef41-47b8-a76f-16c67851c99e,PIURA: PDE en Habilidades para la Gestión de Equipos (UDN UDEP),Marketing Digital y Ecommerce,78d79e2c-ef41-47b8-a76f-16c67851c99e,Programa de Especialización en Habilidades para la Gestión de Equipos,5,url,SI,COINCIDE,78d79e2c-ef41-47b8-a76f-16c67851c99e,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-inteligencia-emocional-y-coaching,https://udeponline.pe/programa-de-especializacion-en-inteligencia-emocional-y-coaching/,hero,518f587e-3cfe-4c56-85d7-1939a4624925,PIURA: PDE en Inteligencia Emocional y Coaching (UDN UDEP),Marketing Digital y Ecommerce,518f587e-3cfe-4c56-85d7-1939a4624925,Programa de Especialización en Inteligencia Emocional y Coaching,8,url,SI,COINCIDE,518f587e-3cfe-4c56-85d7-1939a4624925,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-inteligencia-emocional-y-coaching,https://udeponline.pe/programa-de-especializacion-en-inteligencia-emocional-y-coaching/,modal,518f587e-3cfe-4c56-85d7-1939a4624925,PIURA: PDE en Inteligencia Emocional y Coaching (UDN UDEP),Marketing Digital y Ecommerce,518f587e-3cfe-4c56-85d7-1939a4624925,Programa de Especialización en Inteligencia Emocional y Coaching,8,url,SI,COINCIDE,518f587e-3cfe-4c56-85d7-1939a4624925,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-liderazgo-y-comunicacion-efectiva,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-comunicacion-efectiva/,hero,20d1a6ad-9788-4a2a-a6cc-4917bed546e8,PIURA: PDE en Liderazgo y Comunicación Efectiva (UDN UDEP),Marketing Digital y Ecommerce,20d1a6ad-9788-4a2a-a6cc-4917bed546e8,Programa de Especialización en Liderazgo y Comunicación Efectiva,16,url,SI,COINCIDE,20d1a6ad-9788-4a2a-a6cc-4917bed546e8,nada: el formId de la pagina es el correcto,
programa-de-especializacion-en-liderazgo-y-comunicacion-efectiva,https://udeponline.pe/programa-de-especializacion-en-liderazgo-y-comunicacion-efectiva/,modal,20d1a6ad-9788-4a2a-a6cc-4917bed546e8,PIURA: PDE en Liderazgo y Comunicación Efectiva (UDN UDEP),Marketing Digital y Ecommerce,20d1a6ad-9788-4a2a-a6cc-4917bed546e8,Programa de Especialización en Liderazgo y Comunicación Efectiva,16,url,SI,COINCIDE,20d1a6ad-9788-4a2a-a6cc-4917bed546e8,nada: el formId de la pagina es el correcto,
