pagina,url,tipo,formId_banner,formId_modal,incrustaciones_en_html,formId_esperado_inventario_15sep,banner_coincide,modal_coincide,nombre_formulario_segun_hubspot,formulario_corresponde_a_la_pagina,programa_que_envia_el_formulario,programa_que_deberia_enviar,programa_coincide,activador_segun_hubspot,formId_que_debe_ir_en_la_pagina,vicente_debe_repuntar,accion,observacion
curso-de-marketing-digital,https://udeponline.pe/curso-de-marketing-digital/,curso,b6e43bcf-a7cc-4b9e-ae6c-1087963599b3,b6e43bcf-a7cc-4b9e-ae6c-1087963599b3,2,b6e43bcf-a7cc-4b9e-ae6c-1087963599b3,SI,SI,Curso Marketing Digital (UDN-UDEP),SI,,Marketing Digital,NO,0305. Activador Cursos Piura (UDN UDEP),b6e43bcf-a7cc-4b9e-ae6c-1087963599b3,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto no tiene valor
curso-de-negociacion-y-resolucion-de-conflictos,https://udeponline.pe/curso-de-negociacion-y-resolucion-de-conflictos/,curso,51477554-b683-4fb1-99c3-9b063b68c3a3,51477554-b683-4fb1-99c3-9b063b68c3a3,2,51477554-b683-4fb1-99c3-9b063b68c3a3,SI,SI,Curso Negociación y Resolución de Conflictos Piura  (UDN UDEP),SI,Gestión del Talento,Negociación y Resolución de Conflictos,NO,0305. Activador Cursos Piura (UDN UDEP),51477554-b683-4fb1-99c3-9b063b68c3a3,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
curso-de-negocios-e-commerce,https://udeponline.pe/curso-de-negocios-e-commerce/,curso,66f1f7d0-79f6-4ef5-8796-4d0e41e3db89,66f1f7d0-79f6-4ef5-8796-4d0e41e3db89,2,66f1f7d0-79f6-4ef5-8796-4d0e41e3db89,SI,SI,Curso Negocios Ecommerce (UDN - UDEP) ,SI,,Negocios e-commerce,NO,0305. Activador Cursos Piura (UDN UDEP),66f1f7d0-79f6-4ef5-8796-4d0e41e3db89,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto no tiene valor
curso-de-negocios-innovadores,https://udeponline.pe/curso-de-negocios-innovadores/,curso,a44b1d7f-6c25-4797-a134-6e4581722480,a44b1d7f-6c25-4797-a134-6e4581722480,2,a44b1d7f-6c25-4797-a134-6e4581722480,SI,SI,Curso Negocios Innovadores  (UDN UDEP),SI,Gestión del Talento,Negocios Innovadores,NO,0305. Activador Cursos Piura (UDN UDEP),a44b1d7f-6c25-4797-a134-6e4581722480,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
curso-de-transformacion-digital,https://udeponline.pe/curso-de-transformacion-digital/,curso,179df4f7-4389-45b3-9550-8cf9d6ac1c09,179df4f7-4389-45b3-9550-8cf9d6ac1c09,2,179df4f7-4389-45b3-9550-8cf9d6ac1c09,SI,SI,Curso Transformación Digital Piura  (UDN UDEP),SI,Gestión del Talento,Transformación Digital,NO,0305. Activador Cursos Piura (UDN UDEP),179df4f7-4389-45b3-9550-8cf9d6ac1c09,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
curso-desarrollo-organizacional-y-gestion-del-cambio,https://udeponline.pe/curso-desarrollo-organizacional-y-gestion-del-cambio/,curso,47578cfa-f426-4fc3-a358-e880a8ad121e,47578cfa-f426-4fc3-a358-e880a8ad121e,2,47578cfa-f426-4fc3-a358-e880a8ad121e,SI,SI,Curso Desarrollo Organizacional y Gestión del Cambio  (UDN UDEP),SI,Gestión del Talento,Desarrollo Organizacional y Gestión del Cambio,NO,0305. Activador Cursos Piura (UDN UDEP),47578cfa-f426-4fc3-a358-e880a8ad121e,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
diplomado-en-gestion-de-la-felicidad-y-bienestar-organizacional,https://udeponline.pe/diplomado-en-gestion-de-la-felicidad-y-bienestar-organizacional/,diplomado,0ce67a0b-b785-4f54-b09f-0016e2f3a4d2,0ce67a0b-b785-4f54-b09f-0016e2f3a4d2,2,0ce67a0b-b785-4f54-b09f-0016e2f3a4d2,SI,SI,PIURA: Gestión Felicidad y Bienestar Organizacional (UDN UDEP),SI,Marketing Digital y Ecommerce,Diplomado Gestión Felicidad y Bienestar Organizacional,NO,0305. Activador Diplomados Piura (UDN UDEP),0ce67a0b-b785-4f54-b09f-0016e2f3a4d2,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
diplomado-en-habilidades-para-la-gestion-de-equipos,https://udeponline.pe/diplomado-en-habilidades-para-la-gestion-de-equipos/,diplomado,c86ebf10-b97f-49a4-98ca-c16c183462ad,c86ebf10-b97f-49a4-98ca-c16c183462ad,2,c86ebf10-b97f-49a4-98ca-c16c183462ad,SI,SI,PIURA: Habilidades para la Gestión de Equipos (UDN UDEP),SI,Marketing Digital y Ecommerce,Diplomado Habilidades para la Gestión de Equipos,NO,0305. Activador Diplomados Piura (UDN UDEP),c86ebf10-b97f-49a4-98ca-c16c183462ad,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
diplomado-en-inteligencia-emocional-y-coaching-para-el-liderazgo-en-las-organizaciones,https://udeponline.pe/diplomado-en-inteligencia-emocional-y-coaching-para-el-liderazgo-en-las-organizaciones/,diplomado,bef4306e-9106-4ad8-920f-c01e63c7726e,bef4306e-9106-4ad8-920f-c01e63c7726e,2,bef4306e-9106-4ad8-920f-c01e63c7726e,SI,SI,PIURA: Diplomado Inteligencia Emocional & Coaching (UDN UDEP),SI,Marketing Digital y Ecommerce,Diplomado Inteligencia Emocional & Coaching,NO,0305. Activador Diplomados Piura (UDN UDEP),bef4306e-9106-4ad8-920f-c01e63c7726e,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
diplomado-en-liderazgo-y-gestion-del-talento,https://udeponline.pe/diplomado-en-liderazgo-y-gestion-del-talento/,diplomado,74f59f7e-d2cd-40ad-911b-face84652266,74f59f7e-d2cd-40ad-911b-face84652266,2,74f59f7e-d2cd-40ad-911b-face84652266,SI,SI,PIURA: Diplomado Liderazgo y Gestión del Talento (UDN UDEP),SI,Marketing Digital y Ecommerce,Diplomado Liderazgo y Gestión del Talento,NO,0305. Activador Diplomados Piura (UDN UDEP),74f59f7e-d2cd-40ad-911b-face84652266,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
